ID,Total_Spending,Age,Income,Customer_Seniority,Total_Purchases,Campaign_Response_Rate,Recency,Engagement_Score,Has_Children,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Value_Segment_Medium_Low,Value_Segment_Medium_High,Value_Segment_High_Value
5524,1.672108161451928,1.0201835168804785,0.22658979053360298,1.5059212071733508,1.3206180627823803,16.666666666666664,0.3140467428819051,0.7068912376573989,0,False,True,False,False,False,True,False,False,False,False,True
2174,-0.9615172350350186,1.2767043805309854,-0.23519593882770148,-1.41103738886935,-1.1595859094650764,0.0,-0.37646132095357954,-0.542371734732112,1,False,True,False,False,False,True,False,False,False,False,False
4141,0.2791025272094613,0.33612788047912645,0.7541938861028397,0.04744190915200049,0.7984698580987053,0.0,-0.7907661592548703,0.7886187218324138,0,False,True,False,False,False,False,True,False,False,True,False
6182,-0.9184516625138484,-1.2885042559740845,-1.0064571985325492,-1.41103738886935,-0.8985118071232389,0.0,-0.7907661592548703,-0.12205895897489319,1,False,True,False,False,False,False,True,False,False,False,False
5324,-0.3072518063480098,-1.0319833923235775,0.23265870591862944,-1.41103738886935,0.5373957557568677,0.0,1.5569612577857774,-0.9393338007250408,1,False,False,False,True,True,False,False,False,False,True,False
7446,0.17972043677599162,0.16511397137878844,0.3978898215625759,0.04744190915200049,0.929006909269624,0.0,-1.1360201911726127,1.0921779487681826,1,False,False,True,False,False,False,True,False,False,True,False
965,-0.02898195313429471,-0.17691384682188757,0.12858659563862712,1.5059212071733508,0.7984698580987053,0.0,-0.5145629337206764,0.6018130437180945,1,False,True,False,False,False,False,False,False,False,True,False
6177,-0.7263129543424737,-1.3740112105242537,-0.7398947731050641,0.04744190915200049,-0.6374377047814014,0.0,-0.583613740104225,-0.12205895897489319,1,False,False,False,True,True,False,False,False,True,False,False
4855,-0.9300462397310865,-0.43343471047239457,-0.8613905436840134,0.04744190915200049,-1.1595859094650764,16.666666666666664,-1.03244398159729,0.2865784619001803,1,False,False,False,True,False,False,True,False,False,False,False
5899,-0.925077135209413,1.6187321987316614,-1.8286190388860062,-1.41103738886935,-1.6817341141487516,16.666666666666664,0.6593007747996474,-1.137814833721505,1,False,False,False,True,False,False,True,False,False,False,False
387,-0.9052007171227191,-0.6044486195727325,-1.7561052886081416,1.5059212071733508,-1.1595859094650764,0.0,0.3485721460736793,-1.0327366397822004,0,True,False,False,False,True,False,False,False,False,False,False
2125,0.81907855189798,0.8491696077801405,0.4182500538220196,0.04744190915200049,0.14578460224411136,0.0,1.1426564194844866,-0.8692816714321707,0,False,True,False,False,False,False,False,False,False,False,True
8180,-0.4927650418238199,1.4477182896313234,0.2742014105864558,0.04744190915200049,0.015247551073192565,0.0,0.14141972692303395,-0.2621632175606329,1,False,False,True,False,False,False,False,False,True,False,False
2569,-0.9300462397310865,-1.5450251196245917,-1.3714926703686898,1.5059212071733508,-1.2901229606359952,0.0,-0.37646132095357954,-0.6124238640249818,0,False,True,False,False,True,False,False,False,False,False,False
2114,1.1718849729367973,1.9607600169323374,1.1922129597305244,1.5059212071733508,1.4511551139532992,50.0,-0.894342368830193,2.3647916309219843,0,False,False,False,True,False,True,False,False,False,False,True
9736,-0.8472278310365284,-0.9464764377734086,-0.4111553307006625,1.5059212071733508,-0.7679747559523201,0.0,0.07236892053948549,-0.6357745737892714,1,False,True,False,False,True,False,False,False,True,False,False
4939,-0.48117046460658175,1.9607600169323374,-0.571296388279748,1.5059212071733508,-0.245826551268645,0.0,-0.9979185784055157,0.3683059460751952,0,False,True,False,False,False,False,True,False,True,False,False
6565,1.9454089101439698,1.7042391532818304,0.9649222899880814,0.04744190915200049,1.4511551139532992,16.666666666666664,1.4533850482104547,0.006369944728701487,1,False,False,True,False,True,False,False,False,False,False,True
2278,-0.7859422086025555,-1.3740112105242537,-0.7258775362802933,1.5059212071733508,-0.8985118071232389,0.0,1.2807580322515835,-1.5231015448322889,1,False,False,False,False,False,True,False,False,True,False,False
9360,-0.48282683278047295,-1.1174903468737465,-0.5994874791005163,1.5059212071733508,-0.3763636024395638,0.0,-0.27288511137825683,-0.19211108826776305,0,False,True,False,False,True,False,False,False,True,False,False
5376,1.8592777651016295,-0.8609694832232395,-1.9539519301600046,0.04744190915200049,3.6702849838589184,0.0,-0.23835970818648258,1.9561542100469098,1,False,True,False,False,True,False,False,False,False,False,True
1993,0.6037506892921289,1.7042391532818304,0.24495315385990887,1.5059212071733508,0.2763216534150301,16.666666666666664,0.48667375884077624,0.02972065449299098,1,False,False,False,True,True,False,False,False,False,True,False
